b;rynna 3mb;19.85;;;;;;;
b;rynna 4mb;19.85;;;;;;;
b;rura spustowa 1mb;26.29;;;;;;;
b;rura spustowa 3mb;25.81;;;;;;;
b;łącznik rynny;11.03;;;;;;;
b;łącznik rynny z klamrą;13.41;;;;;;;
b;denko rynny;9.35;;;;;;;
b;hak doczołowy;9.98;;;;;;;
b;hak dokrokwiowy 70mm;11.03;;;;;;;
b;hak dokrokwiowy 160mm;11.45;;;;;;;
b;hak dokrokwiowy 210mm;10.9;;;;;;;
b;hak łączony 70mm;10.29;;;;;;;
b;hak łączony 160mm;10.82;;;;;;;
b;hak łączony 210mm;11.24;;;;;;;
b;sztucer 150/100;25.1;;;;;;;
b;narożnik wewnętrzny 90;58.70;;;;;;;
b;narożnik zewnętrzny 90;58.70;;;;;;;
b;narożnik wewnętrzny 135;142.70;;;;;;;
b;narożnik zewnętrzny 135;142.70;;;;;;;
b;narożnik wew Dowolny;142.70;;;;;;;
b;narożnik wew Dowolny;142.70;;;;;;;
b;kolano 60;27.20;;;;;;;
b;złączka rury spustowej;14.60;;;;;;;
b;obejma rury spustowej;8.93;;;;;;;
b;trójnik 60;137.45;;;;;;;
b;łapacz deszczówki;167.90;;;;;;;
b;wylewka;26.78;;;;;;;
b;śruba do obejmy 100;1.56;;;;;;;
b;śruba do obejmy 160;2.61;;;;;;;
b;śruba do obejmy 250;4.62;;;;;;;
b;uszczelniacz;19.90;;;;;;;
b;szczypce;27.50;;;;;;;
b;lakier 12 ml;12.5;;;;;;;
