Okno Good 55x78 dakea;579.18;0.38
Okno Good 55x98 dakea;622.3;0.38
Okno Good 66x98 dakea;669.34;0.38
Okno Good 66x118 dakea;690.9;0.38
Okno Good 78x98 dakea;701.68;0.38
Okno Good 78x118 dakea;767.34;0.38
Okno Good 78x140 dakea;848.68;0.38
Okno Good 78x160 dakea;938.84;0.38
Okno Good 94x118 dakea;875.14;0.38
Okno Good 114x118 dakea;941.78;0.38
Okno Good 114x140 dakea   ;1041.74;0.38
Okno Good 134x98 dakea   ;941.78;0.38
Okno Good 134x140 dakea  ;1209;0.38
Okno Better 55x78 dakea;623.7;0.38
Okno Better 55x98 dakea;695.89;0.38
Okno Better 66x98 dakea;762.55;0.38
Okno Better 66x118 dakea;813.05;0.38
Okno Better 78x98 dakea;808;0.38
Okno Better 78x118 dakea;854.46;0.38
Okno Better 78x140 dakea;946.37;0.38
Okno Better 78x160 dakea  ;1069.59;0.38
Okno Better 94x118 dakea;1015.05;0.38
Okno Better 114x118 dakea;1092.82;0.38
Okno Better 114x140 dakea   ;1300.88;0.38
Okno Better 134x98 dakea   ;1102.92;0.38
Okno Better 134x140 dakea  ;1398.36;0.38
Okno Better PCV 55x78 dakea;802.2;0.38
Okno Better PCV 55x98 dakea;898.84;0.38
Okno Better PCV 66x98 dakea;932.55;0.38
Okno Better PCV 66x118 dakea;1004.67;0.38
Okno Better PCV 78x98 dakea;975.2;0.38
Okno Better PCV 78x118 dakea;1075.27;0.38
Okno Better PCV 78x140 dakea;1164.15;0.38
Okno Better PCV 78x160 dakea  ;1298.67;0.38
Okno Better PCV 94x118 dakea;1242.24;0.38
Okno Better PCV 114x118 dakea;1344.8;0.38
Okno Better PCV 134x98 dakea   ;1344.8;0.38
Okno Best PCV 55x78 dakea;842.31;0.38
Okno Best PCV 55x98 dakea;943.78;0.38
Okno Best PCV 66x98 dakea;979.18;0.38
Okno Best PCV 66x118 dakea;1054.9;0.38
Okno Best PCV 78x98 dakea;1023.96;0.38
Okno Best PCV 78x118 dakea;1129.03;0.38
Okno Best PCV 78x140 dakea;1222.36;0.38
Okno Best PCV 78x160 dakea   ;1363.6;0.38
Okno Best PCV 94x118 dakea;1304.35;0.38
Okno Best PCV 114x118 dakea;1412.03;0.38
Okno Best PCV 134x988 dakea;1412.03;0.38
Okno Best 55x98 dakea;968.22;0.38
Okno Best 66x98 dakea;1024.65;0.38
Okno Best 66x118 dakea;1097.91;0.38
Okno Best 78x98 dakea;1089.99;0.38
Okno Best 78x118 dakea;1158.3;0.38
Okno Best 78x140 dakea;1268.19;0.38
Okno Best 78x160 dakea;1432.53;0.38
Okno Best 94x118 dakea;1340.46;0.38
Okno Best 114x118 dakea;1519.65;0.38
Okno Best 114x140 dakea   ;1688.94;0.38
Okno Best 134x98 dakea   ;1533.51;0.38
Okno Best 134x140 dakea  ;1831.86;0.38
Okno nito z nawiewnikiem 55x78 Rooflite ;525;0.38
Okno nito z nawiewnikiem 55x98 Rooflite ;581;0.38
Okno nito z nawiewnikiem 66x118 Rooflite ;708;0.38
Okno nito z nawiewnikiem 78x98 Rooflite ;700;0.38
Okno nito z nawiewnikiem 78x118 Rooflite ;682;0.38
Okno nito z nawiewnikiem 78x140 Rooflite ;755;0.38
Okno nito z nawiewnikiem 114x118 Rooflite ;954;0.38
