Ko³nierz uszczelniaj¹cy 55x78 KTF Dakea;186.05;0.38
Ko³nierz uszczelniaj¹cy 55x98 KTF Dakea;192.92;0.38
Ko³nierz uszczelniaj¹cy 66x98 KTF Dakea;202.92;0.38
Ko³nierz uszczelniaj¹cy 66x118 KTF Dakea;210.92;0.38
Ko³nierz uszczelniaj¹cy 78x98 KTF Dakea;205.92;0.38
Ko³nierz uszczelniaj¹cy 78x118 KTF Dakea;211.92;0.38
Ko³nierz uszczelniaj¹cy 78x140 KTF Dakea;228.91;0.38
Ko³nierz uszczelniaj¹cy 78x160 KTF Dakea;256.9;0.38
Ko³nierz uszczelniaj¹cy 94x118 KTF Dakea;243.9;0.38
Ko³nierz uszczelniaj¹cy 114x118 KTF Dakea;261.9;0.38
Ko³nierz uszczelniaj¹cy 114x140 KTF Dakea;288.44;0.38
Ko³nierz uszczelniaj¹cy 134x98 KTF Dakea;272.56;0.38
Ko³nierz uszczelniaj¹cy 134x140 KTF Dakea;299.58;0.38
Ko³nierz KOMBI 55x78 Dakea;468.78;0.38
Ko³nierz KOMBI 55x98 Dakea;484.37;0.38
Ko³nierz KOMBI 66x98 Dakea;499.15;0.38
Ko³nierz KOMBI 66x118 Dakea;538.56;0.38
Ko³nierz KOMBI 78x98 Dakea;534.46;0.38
Ko³nierz KOMBI 78x118 Dakea;554.16;0.38
Ko³nierz KOMBI 78x140 Dakea;589.46;0.38
Ko³nierz KOMBI 78x160 Dakea;635.44;0.38
Ko³nierz KOMBI 94x118 Dakea;601.77;0.38
Ko³nierz KOMBI 114x118 Dakea;628.05;0.38
Ko³nierz KOMBI 114x140 Dakea;722.46;0.38
Ko³nierz KOMBI 134x98 Dakea;730.67;0.38
Ko³nierz KOMBI 134x140 Dakea;750.37;0.38
Ko³nierz falisty TFX 55x78 Rooflite;184;0.38
Ko³nierz falisty TFX 55x98 Rooflite;194;0.38
Ko³nierz falisty TFX 66x118 Rooflite;208;0.38
Ko³nierz falisty TFX 78x98 Rooflite;206;0.38
Ko³nierz falisty TFX 78x118 Rooflite;210;0.38
Ko³nierz falisty TFX 78x140 Rooflite;225;0.38
Ko³nierz falisty TFX 114x118 Rooflite;253;0.38
